ring_id   nest_id   star_count
   2519       313        29630
   2520       310        61622
   2521       309        27711
   2522       330       113207
   2523       329        77797
   2524       326       226776
   2525       325       160774
   2526      6138        76236
   2527      6137        76983
   2528      6134        87194
   2529      6133        82102
   2599      3641       399343
   2600      3638       460222
   2601      3637       525655
   2602      3658       218348
   2603      3657       748682
   2604      3654      1117713
   2605      3653       285429
   2606      3322       834278
   2607      3321       251462
   2608      3318       385311
   2609      3317       263716
   2648       307       153789
   2649       308       245364
   2650       287       274934
   2651       328       518098
   2652       323       669303
   2653       324       918271
   2654      6127       789180
   2655      6136       559844
   2656      6131       376490
   2657      6132       311165
   2658      6111       216572
   2659      1672        24376
   2660      1667           29
   2727      3640       754696
   2728      3635      1629340
   2729      3636      2178989
   2730      3615      2612208
   2731      3656      2303295
   2732      3651      7042694
   2733      3652      2163262
   2734      3311      2119040
   2735      3320      1747879
   2736      3315      1353278
   2737      3316       764262
   2775       306        10910
   2776       305       187889
   2777       286       290733
   2778       285       412571
   2779       322       574090
   2780       321       751758
   2781      6126      1089216
   2782      6125       814155
   2783      6130       622651
   2784      6129       423597
   2785      6110       340981
   2786      6109       236630
   2787      1666       194200
   2788      1665       149334
   2789      1582        91798
   2790      1581        47303
   2791      1586        12492
   2792      1585         4804
   2793      1566         1167
   2854      3629       487608
   2855      3634      1643525
   2856      3633      2497980
   2857      3614      3152707
   2858      3613      3292018
   2859      3650      8076684
   2860      3649      3038329
   2861      3310      2413114
   2862      3309      1842361
   2863      3314      1531476
   2864      3313       772905
   2900       384         1047
   2901       299         2972
   2902       300        54502
   2903       295       142152
   2904       304       163813
   2905       283       209767
   2906       284       303258
   2907       279       429449
   2908       320       615976
   2909      6123       735694
   2910      6124      1043789
   2911      6119       832665
   2912      6128       535502
   2913      6107       356478
   2914      6108       348652
   2915      6103       295429
   2916      1664       248544
   2917      1579       210821
   2918      1580       180862
   2919      1575       157239
   2920      1584       134136
   2921      1563        60004
   2922      1564        35383
   2923      1559        22749
   2982      3628       107034
   2983      3623      1577534
   2984      3632      2396353
   2985      3611      3477445
   2986      3612      3422836
   2987      3607      9342283
   2988      3648      3059955
   2989      3307      2792852
   2990      3308      1750515
   2991      3303      1511898
   2992      3312       799753
   3026       214         2496
   3027       213        79944
   3028       298       103965
   3029       297       145544
   3030       294       170177
   3031       293       214879
   3032       282       208593
   3033       281       246942
   3034       278       360563
   3035       277       483737
   3036      6122       640482
   3037      6121       711733
   3038      6118      1064216
   3039      6117       791454
   3040      6106       452143
   3041      6105       375009
   3042      6102       355402
   3043      6101       289266
   3044      1578       241081
   3045      1577       204711
   3046      1574       178089
   3047      1573       157660
   3048      1562       142486
   3049      1561       130310
   3050      1558       108312
   3051      1557        67860
   3052      1258        55022
   3053      1257         2811
   3054      1254         1051
   3109      3625         1487
   3110      3622      1485709
   3111      3621      2278359
   3112      3610      3443358
   3113      3609      3651441
   3114      3606      9863632
   3115      3605      4152938
   3116      3306      2852018
   3117      3305      1869990
   3118      3302      1426708
   3119      3301       833747
   3152       207         5715
   3153       216        32052
   3154       211        63607
   3155       212       107568
   3156       127       157341
   3157       296       169862
   3158       291       143617
   3159       292       124632
   3160       271       161898
   3161       280       203579
   3162       275       275144
   3163       276       347516
   3164      6079       471854
   3165      6120       645402
   3166      6115       700969
   3167      6116      1072026
   3168      6095       776943
   3169      6104       411775
   3170      6099       428503
   3171      6100       341468
   3172      6015       280691
   3173      1576       233829
   3174      1571       197706
   3175      1572       173111
   3176      1551       153832
   3177      1560       139734
   3178      1555       127552
   3179      1556       116686
   3180      1215       108423
   3181      1256        93674
   3182      1251        63426
   3183      1252        28954
   3238      3619      1201156
   3239      3620      2162731
   3240      3599      3243830
   3241      3608      4183025
   3242      3603      8071312
   3243      3604      4961506
   3244      3263      2511990
   3245      3304      2246213
   3246      3299      1542849
   3247      3300       975121
   3278       225        11468
   3279       206        60995
   3280       205       104032
   3281       210       114249
   3282       209       130029
   3283       126       141820
   3284       125       158372
   3285       290       168725
   3286       289       157499
   3287       270       114663
   3288       269       141825
   3289       274       219967
   3290       273       236470
   3291      6078       319916
   3292      6077       424177
   3293      6114       569219
   3294      6113       757882
   3295      6094       976626
   3296      6093       730694
   3297      6098       447886
   3298      6097       407644
   3299      6014       330209
   3300      6013       269593
   3301      1570       223985
   3302      1569       190588
   3303      1550       167204
   3304      1549       149855
   3305      1554       136078
   3306      1553       124085
   3307      1214       115334
   3308      1213       106777
   3309      1250        99635
   3310      1249        93437
   3311      1230        69362
   3312      1229        20324
   3313      1234          378
   3365      3618       671881
   3366      3617      2030391
   3367      3598      2965653
   3368      3597      3783920
   3369      3602      5438259
   3370      3601      6933188
   3371      3262      2347311
   3372      3261      2446287
   3373      3298      1673372
   3374      3297      1104767
   3405       183         3742
   3406       224        57904
   3407       203       105371
   3408       204       111064
   3409       199       114827
   3410       208       123355
   3411       123       131169
   3412       124       137667
   3413       119       152983
   3414       288       155033
   3415       267       161636
   3416       268       120936
   3417       263       107525
   3418       272       191487
   3419      6075       241368
   3420      6076       295724
   3421      6071       401407
   3422      6112       586366
   3423      6091       856402
   3424      6092       901581
   3425      6087       624132
   3426      6096       470524
   3427      6011       386390
   3428      6012       314986
   3429      6007       257626
   3430      1568       215303
   3431      1547       184167
   3432      1548       162134
   3433      1543       145810
   3434      1552       131224
   3435      1211       121868
   3436      1212       111811
   3437      1207       103865
   3438      1248        98472
   3439      1227        92320
   3440      1228        87644
   3441      1223        61936
   3442      1232        43213
   3443      1147          586
   3493      8055       220188
   3494      3616      1865826
   3495      3595      2733474
   3496      3596      3774031
   3497      3591      3701138
   3498      3600      8558339
   3499      3259      3200039
   3500      3260      2543145
   3501      3255      1954671
   3502      3296      1306114
   3503      3275         1161
   3531       185        13397
   3532       182        34709
   3533       181        96359
   3534       202       101671
   3535       201       108063
   3536       198       110166
   3537       197       116579
   3538       122       122425
   3539       121       124574
   3540       118       137668
   3541       117       146902
   3542       266       139514
   3543       265       130205
   3544       262       115178
   3545       261       145945
   3546      6074       242256
   3547      6073       314801
   3548      6070       338202
   3549      6069       434385
   3550      6090       622238
   3551      6089      1031006
   3552      6086       828760
   3553      6085       526550
   3554      6010       444918
   3555      6009       374874
   3556      6006       297567
   3557      6005       246593
   3558      1546       205853
   3559      1545       177400
   3560      1542       157608
   3561      1541       141046
   3562      1210       127880
   3563      1209       118184
   3564      1206       109973
   3565      1205       102368
   3566      1226        97056
   3567      1225        91287
   3568      1222        86730
   3569      1221        82887
   3570      1146        63280
   3571      1145        38255
   3572      1142         2475
   3620      8054        16467
   3621      8053      1699263
   3622      3594      2341971
   3623      3593      3506741
   3624      3590      3790008
   3625      3589     10139538
   3626      3258      3699237
   3627      3257      2550029
   3628      3254      2102545
   3629      3253      1507799
   3630      3274        21809
   3658       175         9580
   3659       184        39759
   3660       179        77739
   3661       180        98615
   3662       159        99439
   3663       200        98968
   3664       195       102984
   3665       196       109182
   3666       111       113000
   3667       120       116556
   3668       115       118074
   3669       116       136750
   3670        95       145524
   3671       264       153459
   3672       259       121563
   3673       260       169913
   3674      6063       212371
   3675      6072       271889
   3676      6067       307158
   3677      6068       360992
   3678      6047       406333
   3679      6088       632812
   3680      6083      1062324
   3681      6084       709082
   3682      5999       418623
   3683      6008       460712
   3684      6003       347213
   3685      6004       285135
   3686      5983       236027
   3687      1544       197962
   3688      1539       172295
   3689      1540       153092
   3690      1199       135721
   3691      1208       124863
   3692      1203       115336
   3693      1204       107420
   3694      1183       100938
   3695      1224        95246
   3696      1219        89699
   3697      1220        84923
   3698      1135        81609
   3699      1144        79306
   3700      1139        67603
   3701      1140        25959
   3702      1119         4656
   3749      8052      1278516
   3750      8031      2065357
   3751      3592      2806876
   3752      3587      3643241
   3753      3588      9046353
   3754      3247      5282787
   3755      3256      3398064
   3756      3251      2380908
   3757      3252      1623454
   3758      3231       161719
   3785       174        23230
   3786       173        83979
   3787       178        93723
   3788       177        95079
   3789       158        94402
   3790       157        96149
   3791       194        93327
   3792       193        98177
   3793       110       104400
   3794       109       112083
   3795       114       113262
   3796       113       125611
   3797        94       131790
   3798        93       122502
   3799       258       144011
   3800       257       150081
   3801      6062       190530
   3802      6061       227748
   3803      6066       271530
   3804      6065       293999
   3805      6046       483384
   3806      6045       510963
   3807      6082       770112
   3808      6081      1039106
   3809      5998       532366
   3810      5997       528983
   3811      6002       434175
   3812      6001       328910
   3813      5982       273351
   3814      5981       222958
   3815      1538       190912
   3816      1537       166956
   3817      1198       147884
   3818      1197       132124
   3819      1202       122301
   3820      1201       113042
   3821      1182       105907
   3822      1181        99187
   3823      1218        94542
   3824      1217        88942
   3825      1134        84591
   3826      1133        81097
   3827      1138        78139
   3828      1137        75698
   3829      1118        67142
   3830      1117        11040
   3831      1282          749
   3876      8049       681296
   3877      8030      1940950
   3878      8029      2749279
   3879      3586      3353585
   3880      3585      6427362
   3881      3246      5910914
   3882      3245      4636599
   3883      3250      2946492
   3884      3249      1736192
   3885      3230       392937
   3912       512        19435
   3913       171        71667
   3914       172        91384
   3915       167        89684
   3916       176        88873
   3917       155        91665
   3918       156        94407
   3919       151        93509
   3920       192        80777
   3921       107       100288
   3922       108       103736
   3923       103       110215
   3924       112       113018
   3925        91       124139
   3926        92       126203
   3927        87       121888
   3928       256       140437
   3929      6059       164254
   3930      6060       200491
   3931      6055       218761
   3932      6064       263508
   3933      6043       366347
   3934      6044       495707
   3935      6039       607079
   3936      6080       737830
   3937      5995       735307
   3938      5996       606922
   3939      5991       536741
   3940      6000       406938
   3941      5979       319756
   3942      5980       256930
   3943      5975       213213
   3944      1536       184252
   3945      1195       161308
   3946      1196       143712
   3947      1191       131079
   3948      1200       120088
   3949      1179       111469
   3950      1180       104149
   3951      1175        98180
   3952      1216        93166
   3953      1131        87573
   3954      1132        83743
   3955      1127        80517
   3956      1136        78014
   3957      1115        75216
   3958      1116        70250
   3959      1111        55345
   3960      1280        19520
   4004      8048       183148
   4005      8027      2057982
   4006      8028      2679072
   4007      8023      2746154
   4008      3584      3536870
   4009      3243      7363662
   4010      3244      5996198
   4011      3239      3404943
   4012      3248      2005772
   4013      3227       668865
   4038      4950         7106
   4039      4949        59453
   4040       170        83310
   4041       169        89024
   4042       166        89063
   4043       165        86520
   4044       154        86294
   4045       153        90395
   4046       150        94747
   4047       149        77410
   4048       106        96692
